,Latitude,Longitude,pH,EC,N,P,K,B,Zn,Fe,OM,Texture
Takar I ,34.2893978,71.9195828,8.19,0.228,1.11,2.727,122,0.36,0.22,0.72,0.89,Silt Loam
Takar II ,34.2851754,71.8938399,8.14,0.242,1.06,2.041,106,0.31,0.26,0.86,0.41,
Takar III ,34.2931804,71.8877887,7.96,0.329,1.01,1.759,212,0.34,0.21,0.12,0.37,
Siri Behlol I ,34.2671127,71.9446338,8.1,0.235,1.61,5.026,90,0.52,0.23,0.16,1.17,silty clay loam
Siri Behlol II ,34.2675505,71.9422286,8,0.255,0.87,6.921,224,0.29,0.27,0.71,1.51,
Jalala I ,34.3676526,71.9008738,8,0.242,0.74,5.429,112,0.51,0.26,0.74,1.17,
Jalala II ,34.3650052,71.9026753,7.94,0.257,0.56,8.212,144,0.45,0.2,0.5,1.03,
Sher garh I ,34.3925978,71.8990148,7.91,0.273,0.71,5.631,146,0.38,0.38,0.78,1.06,
Sher garh II ,34.3716832,71.8983836,7.88,0.216,0.67,6.599,142,0.42,0.24,0.74,0.85,clay loam
Maddy baba I ,34.3271583,71.903922,8.3,0.272,0.68,2.485,164,0.62,0.16,0.68,1.79,silty clay loam
Maddy baba II ,34.32530561,71.88798978,8.26,0.188,0.46,0.67,150,0.4,0.28,0.7,0.34,
Parkho dheri I ,34.3428847,71.9371339,8.09,0.232,1.01,2.364,254,0.46,0.24,0.57,0.72,
Parkho dheri II ,34.3329495,71.9482096,7.84,0.201,0.95,7.544,176,0.42,0.35,0.38,0.41,
Hattian I ,34.3752701,71.9247693,7.65,0.216,0.68,1.823,150,0.31,0.15,0.38,0.44,
Hattian II ,34.395328,71.9133369,7.6,0.181,0.59,3.121,110,0.31,0.19,0.5,0.62,
Hattian III ,34.3948432,71.9143236,7.59,0.132,0.66,2.31,110,0.56,0.18,0.36,0.82,
T.K Urban I ,34.2895819,71.9206807,7.96,0.282,1.5,2.31,134,0.5,0.14,0.13,1,
T.K Urban  II ,34.2888268,71.9203443,7.83,0.222,0.89,1.498,148,0.28,0.2,0.37,0.51,
Mohib banda I ,34.3271583,71.903922,8.41,0.288,0.99,2.716,132,0.51,0.1,0.7,1.13,Silt Loam
Kot jongarh I ,34.29501,71.9347231,8.46,0.18,0.64,2.756,126,0.7,0.2,0.34,1.24,
Makori I ,34.3742275,71.9830723,8.03,0.224,0.74,1.295,220,0.79,0.2,0.39,1.62,silty clay loam
Makori II ,34.3623921,71.929845,8.08,0.204,0.82,1.093,148,1.24,0.08,0.29,1.24,
